year,age,school,group,topic,count
2018,010,3,1,134200,3
2018,010,3,2,134200,0
2018,010,3,9,134200,6
2018,010,4,1,134200,3
2018,010,4,2,134200,3
2018,010,4,9,134200,6
2018,010,5,1,134200,0
2018,010,5,2,134200,0
2018,010,5,9,134200,0
2018,010,6,1,134200,0
2018,010,6,2,134200,0
2018,010,6,9,134200,0
2018,010,9,1,134200,0
2018,010,9,2,134200,0
2018,010,9,9,134200,0
2018,010,77,1,134200,30
2018,010,77,2,134200,33
2018,010,77,9,134200,63
2018,010,9999,1,134200,30
2018,010,9999,2,134200,33
2018,010,9999,9,134200,63
2018,010,1,1,134300,..C
2018,010,1,2,134300,..C
2018,010,1,9,134300,6
2018,010,2,1,134300,..C
2018,010,2,2,134300,..C
2018,010,2,9,134300,3
2018,010,3,1,134300,..C
2018,010,3,2,134300,..C
2018,010,3,9,134300,3
2018,010,4,1,134300,..C
2018,010,4,2,134300,..C
2018,010,4,9,134300,6
2018,010,5,1,134300,..C
2018,010,5,2,134300,..C
2018,010,5,9,134300,0
2018,010,6,1,134300,..C
2018,010,6,2,134300,..C
2018,010,6,9,134300,0
2018,010,9,1,134300,..C
2018,010,9,2,134300,..C
2018,010,9,9,134300,0
2018,010,77,1,134300,..C
2018,010,77,2,134300,..C
2018,010,77,9,134300,12
2018,010,9999,1,134300,6
2018,010,9999,2,134300,6
2018,010,9999,9,134300,12
2018,010,1,1,134400,6
2018,010,1,2,134400,12
2018,010,1,9,134400,18
2018,010,2,1,134400,3
2018,010,2,2,134400,6
2018,010,2,9,134400,6
2018,010,3,1,134400,3
2018,010,3,2,134400,6
2018,010,3,9,134400,9
2018,010,4,1,134400,0
2018,010,4,2,134400,3
2018,010,4,9,134400,0
2018,010,5,1,134400,3
2018,010,5,2,134400,3
2018,010,5,9,134400,3
2018,010,6,1,134400,0
2018,010,6,2,134400,0
2018,010,6,9,134400,0
2018,010,9,1,134400,0
2018,010,9,2,134400,0
2018,010,9,9,134400,0
2018,010,77,1,134400,9
2018,010,77,2,134400,15
2018,010,77,9,134400,24
2018,010,9999,1,134400,9
2018,010,9999,2,134400,15
2018,010,9999,9,134400,24
2018,010,1,1,134500,..C
2018,010,1,2,134500,..C
2018,010,1,9,134500,3
2018,010,2,1,134500,..C
2018,010,2,2,134500,..C
2018,010,2,9,134500,0
2018,010,3,1,134500,..C
2018,010,3,2,134500,..C
2018,010,3,9,134500,0
2018,010,4,1,134500,..C
2018,010,4,2,134500,..C
2018,010,4,9,134500,0
2018,010,5,1,134500,..C
2018,010,5,2,134500,..C
2018,010,5,9,134500,0
2018,010,6,1,134500,..C
2018,010,6,2,134500,..C
2018,010,6,9,134500,0
2018,010,9,1,134500,..C
2018,010,9,2,134500,..C
2018,010,9,9,134500,0
2018,010,77,1,134500,..C
2018,010,77,2,134500,..C
2018,010,77,9,134500,3
2018,010,9999,1,134500,3
2018,010,9999,2,134500,0
2018,010,9999,9,134500,3
2018,010,1,1,134600,24
2018,010,1,2,134600,27
2018,010,1,9,134600,48
2018,010,2,1,134600,..C
2018,010,2,2,134600,..C
2018,010,2,9,134600,6
2018,010,3,1,134600,..C
2018,010,3,2,134600,..C
2018,010,3,9,134600,3
2018,010,4,1,134600,..C
2018,010,4,2,134600,..C
2018,010,4,9,134600,6
2018,010,5,1,134600,..C
2018,010,5,2,134600,..C
2018,010,5,9,134600,0
2018,010,6,1,134600,..C
2018,010,6,2,134600,..C
2018,010,6,9,134600,0
2018,010,9,1,134600,..C
2018,010,9,2,134600,..C
2018,010,9,9,134600,0
2018,010,77,1,134600,24
2018,010,77,2,134600,27
2018,010,77,9,134600,51
2018,010,9999,1,134600,24
2018,010,9999,2,134600,27
2018,010,9999,9,134600,51
2018,010,1,1,134700,18
2018,010,1,2,134700,24
2018,010,1,9,134700,42
2018,010,2,1,134700,..C
2018,010,2,2,134700,..C
2018,010,2,9,134700,6
2018,010,3,1,134700,..C
2018,010,3,2,134700,..C
2018,010,3,9,134700,6
2018,010,4,1,134700,..C
2018,010,4,2,134700,..C
2018,010,4,9,134700,6
2018,010,5,1,134700,..C
2018,010,5,2,134700,..C
2018,010,5,9,134700,0
2018,010,6,1,134700,..C
2018,010,6,2,134700,..C
2018,010,6,9,134700,0
2018,010,9,1,134700,..C
2018,010,9,2,134700,..C
2018,010,9,9,134700,0
2018,010,77,1,134700,24
2018,010,77,2,134700,27
2018,010,77,9,134700,51
2018,010,9999,1,134700,24
2018,010,9999,2,134700,27
2018,010,9999,9,134700,51
2018,010,1,1,134800,..C
2018,010,1,2,134800,..C
2018,010,1,9,134800,..C
2018,010,2,1,134800,..C
2018,010,2,2,134800,..C
2018,010,2,9,134800,..C
2018,010,3,1,134800,..C
2018,010,3,2,134800,..C
2018,010,3,9,134800,..C
2018,010,4,1,134800,..C
2018,010,4,2,134800,..C
2018,010,4,9,134800,..C
2018,010,5,1,134800,..C
2018,010,5,2,134800,..C
2018,010,5,9,134800,..C
2018,010,6,1,134800,..C
2018,010,6,2,134800,..C
2018,010,6,9,134800,..C
2018,010,9,1,134800,..C
2018,010,9,2,134800,..C
2018,010,9,9,134800,..C
2018,010,77,1,134800,..C
2018,010,77,2,134800,..C
2018,010,77,9,134800,..C
2018,010,9999,1,134800,..C
2018,010,9999,2,134800,..C
2018,010,9999,9,134800,..C
2018,010,1,1,134900,..C
2018,010,1,2,134900,9
2018,010,1,9,134900,12
2018,010,2,1,134900,..C
2018,010,2,2,134900,..C
2018,010,2,9,134900,3
2018,010,3,1,134900,9
2018,010,3,2,134900,..C
2018,010,3,9,134900,9
2018,010,4,1,134900,9
2018,010,4,2,134900,9
2018,010,4,9,134900,18
2018,010,5,1,134900,..C
2018,010,5,2,134900,..C
2018,010,5,9,134900,3
2018,010,6,1,134900,..C
2018,010,6,2,134900,..C
2018,010,6,9,134900,0
2018,010,9,1,134900,..C
2018,010,9,2,134900,..C
2018,010,9,9,134900,0
2018,010,77,1,134900,21
2018,010,77,2,134900,24
2018,010,77,9,134900,42
2018,010,9999,1,134900,21
2018,010,9999,2,134900,24
2018,010,9999,9,134900,42
2018,010,1,1,135000,6
2018,010,1,2,135000,6
2018,010,1,9,135000,12
2018,010,2,1,135000,0
2018,010,2,2,135000,3
2018,010,2,9,135000,6
2018,010,3,1,135000,6
2018,010,3,2,135000,15
2018,010,3,9,135000,21
2018,010,4,1,135000,12
2018,010,4,2,135000,15
2018,010,4,9,135000,30
2018,010,5,1,135000,3
2018,010,5,2,135000,0
2018,010,5,9,135000,3
2018,010,6,1,135000,0
2018,010,6,2,135000,0
2018,010,6,9,135000,0
2018,010,9,1,135000,0
2018,010,9,2,135000,0
2018,010,9,9,135000,0
2018,010,77,1,135000,21
2018,010,77,2,135000,33
2018,010,77,9,135000,54
2018,010,9999,1,135000,21
2018,010,9999,2,135000,33
2018,010,9999,9,135000,54
2018,010,1,1,135100,..C
2018,010,1,2,135100,..C
2018,010,1,9,135100,3
2018,010,2,1,135100,..C
2018,010,2,2,135100,..C
2018,010,2,9,135100,0
2018,010,3,1,135100,..C
2018,010,3,2,135100,..C
2018,010,3,9,135100,0
2018,010,4,1,135100,..C
2018,010,4,2,135100,..C
2018,010,4,9,135100,0
2018,010,5,1,135100,..C
2018,010,5,2,135100,..C
2018,010,5,9,135100,0
2018,010,6,1,135100,..C
2018,010,6,2,135100,..C
2018,010,6,9,135100,0
2018,010,9,1,135100,..C
2018,010,9,2,135100,..C
2018,010,9,9,135100,0
2018,010,77,1,135100,..C
2018,010,77,2,135100,..C
2018,010,77,9,135100,3
2018,010,9999,1,135100,3
2018,010,9999,2,135100,0
2018,010,9999,9,135100,3
2018,010,1,1,135200,15
2018,010,1,2,135200,9
2018,010,1,9,135200,21
2018,010,2,1,135200,..C
2018,010,2,2,135200,..C
2018,010,2,9,135200,3
2018,010,3,1,135200,..C
2018,010,3,2,135200,..C
2018,010,3,9,135200,3
2018,010,4,1,135200,..C
2018,010,4,2,135200,..C
2018,010,4,9,135200,9
2018,010,5,1,135200,..C
2018,010,5,2,135200,..C
2018,010,5,9,135200,0
2018,010,6,1,135200,..C
2018,010,6,2,135200,..C
2018,010,6,9,135200,0
2018,010,9,1,135200,..C
2018,010,9,2,135200,..C
2018,010,9,9,135200,0
2018,010,77,1,135200,18
2018,010,77,2,135200,12
2018,010,77,9,135200,27
2018,010,9999,1,135200,18
2018,010,9999,2,135200,12
2018,010,9999,9,135200,27
2018,010,1,1,135300,3
2018,010,1,2,135300,3
2018,010,1,9,135300,3
2018,010,2,1,135300,3
2018,010,2,2,135300,3
2018,010,2,9,135300,6
2018,010,3,1,135300,3
2018,010,3,2,135300,3
2018,010,3,9,135300,6
2018,010,4,1,135300,3
2018,010,4,2,135300,0
2018,010,4,9,135300,3
2018,010,5,1,135300,0
2018,010,5,2,135300,0
2018,010,5,9,135300,0
2018,010,6,1,135300,0
2018,010,6,2,135300,3
2018,010,6,9,135300,3
2018,010,9,1,135300,0
2018,010,9,2,135300,0
2018,010,9,9,135300,0
